Dataset Size,Nodes,Sequential Time (s),MPI Time (s),Speedup,Efficiency (%),Time Reduction (%),Transfer Time (s),Compute Time (s)
10M,2,6.101,7.833298,0.7788545769610705,38.94272884805353,-28.393673168333056,3.464637,4.36866
10M,4,6.101,5.587851,1.0918329783668177,27.295824459170444,8.410899852483201,3.111281,2.47657
10M,6,6.101,5.067427,1.2039640630244894,20.066067717074823,16.941042452057033,2.945712,2.121715
10M,8,6.101,5.261847,1.1594787913825695,14.493484892282119,13.754351745615468,3.31923,1.942617
